"Местное время в Уфе / им. Мустая Карима (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2022 23:30";"-13.0";"753.6";"767.3";"85";"Ветер, дующий с востока";"2";"";"Дымка";"";"Сплошная (100%) 600 м";"5.0";"-15.0";
"31.12.2022 23:00";"-13.0";"753.6";"767.3";"85";"Ветер, дующий с востока";"3";"";"Дымка";"";"Сплошная (100%) 600 м";"5.0";"-15.0";
"31.12.2022 22:30";"-13.0";"753.6";"767.3";"85";"Ветер, дующий с востока";"3";"";"Дымка";"";"Сплошная (100%) 600 м";"3.0";"-15.0";
"31.12.2022 22:00";"-14.0";"754.4";"768.1";"85";"Переменное направление";"1";"";"Дымка";"";"Разорванная (60-90%) 510 м";"3.0";"-16.0";
"31.12.2022 21:30";"-15.0";"754.3";"768.1";"85";"Переменное направление";"1";"";"Дымка";"";"Разорванная (60-90%) 510 м";"3.0";"-17.0";
"31.12.2022 21:00";"-17.0";"754.2";"768.1";"85";"Ветер, дующий с северо-востока";"1";"";"Дымка";"";"Разорванная (60-90%) 510 м";"2.1";"-19.0";
"31.12.2022 20:30";"-17.0";"754.2";"768.1";"78";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 210 м";"3.0";"-20.0";
"31.12.2022 20:00";"-18.0";"754.1";"768.1";"78";"Переменное направление";"1";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-21.0";
"31.12.2022 19:30";"-16.0";"755.0";"768.9";"85";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-18.0";
"31.12.2022 19:00";"-18.0";"754.9";"768.9";"84";"Переменное направление";"1";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-20.0";
"31.12.2022 18:30";"-16.0";"755.0";"768.9";"85";"Ветер, дующий с юго-юго-востока";"2";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-18.0";
"31.12.2022 18:00";"-18.0";"754.9";"768.9";"84";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-20.0";
"31.12.2022 17:30";"-17.0";"755.0";"768.9";"85";"Ветер, дующий с востоко-юго-востока";"3";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-19.0";
"31.12.2022 17:00";"-17.0";"755.0";"768.9";"78";"Ветер, дующий с юго-востока";"2";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-20.0";
"31.12.2022 16:30";"-17.0";"755.0";"768.9";"85";"Ветер, дующий с юго-востока";"4";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-19.0";
"31.12.2022 16:00";"-15.0";"755.1";"768.9";"78";"Ветер, дующий с юго-востока";"4";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-18.0";
"31.12.2022 15:30";"-15.0";"755.1";"768.9";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-17.0";
"31.12.2022 15:00";"-13.0";"755.9";"769.6";"78";"Ветер, дующий с востока";"2";"";"Дымка";"";"Незначительная (10-30%) 210 м";"3.0";"-16.0";
"31.12.2022 14:30";"-14.0";"755.8";"769.6";"85";"Ветер, дующий с востока";"1";"";"Дымка";"";"Незначительная (10-30%) 210 м";"3.0";"-16.0";
"31.12.2022 14:00";"-15.0";"755.8";"769.6";"85";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 210 м";"3.0";"-17.0";
"31.12.2022 13:30";"-15.0";"755.8";"769.6";"85";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 210 м";"3.0";"-17.0";
"31.12.2022 13:00";"-14.0";"755.8";"769.6";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"Дымка";"";"Незначительная (10-30%) 210 м";"5.0";"-16.0";
"31.12.2022 12:30";"-14.0";"755.8";"769.6";"85";"Ветер, дующий с юго-юго-востока";"1";"";"Дымка";"";"Рассеянная (40-50%) 210 м";"5.0";"-16.0";
