Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
В мэрии Уфы пообещали благоустроить площадь перед «Мальчиком с кураем» — вот какой она будет,https://ufa1.ru/text/gorod/2023/03/17/72139637/,Город,2023-03-17 10:05:00,214,14507,12
"Верните свои деньги: объясняем в картинках, как получить налоговый вычет",https://ufa1.ru/text/economics/2023/03/17/72132254/,Экономика,2023-03-17 10:00:00,148,86100,2
"Прокуратура Башкирии проверит работу газовиков в девятиэтажке, где рванул газ",https://ufa1.ru/text/incidents/2023/03/17/72139601/,Происшествия,2023-03-17 09:35:00,412,84900,25
В Башкирии погиб из-за схода снега замглавы администрации Зилаирского района,https://ufa1.ru/text/incidents/2023/03/17/72139574/,Политика  Происшествия,2023-03-17 09:17:00,1991,85320,22
В Башкирии в жилом доме произошел взрыв газа — видео,https://ufa1.ru/text/incidents/2023/03/17/72139547/,Происшествия,2023-03-17 08:52:00,1996,84900,25
"В России разносят повестки «для уточнения данных». Что будет, если не ходить в военкомат",https://ufa1.ru/text/world/2023/03/17/72139061/,Страна и мир,2023-03-17 08:00:00,870,83280,18
"Не «Ар-Рахимом» единым: смотрим, какие еще мечети Уфы нуждаются в достройке и ремонте",https://ufa1.ru/text/religion/2023/03/17/72137939/,Религия,2023-03-17 07:20:00,1619,84000,28
«Сразу всех не будут же выгонять»: как продавцы Гагаринского рынка в Уфе выжидают перед реконструкцией,https://ufa1.ru/text/gorod/2023/03/17/72138098/,Город,2023-03-17 07:20:00,1659,0,12
«Надо сначала создать красивое тело»: блогер-инвалид из Уфы собирается стать моделью,https://ufa1.ru/text/style/2023/03/16/72136613/,Стиль и красота,2023-03-16 23:00:00,729,56400,7
Депутата признали виновным в дискредитации ВС РФ за лапшу на ушах: новости СВО за 16 марта,https://ufa1.ru/text/world/2023/03/16/72138092/,Страна и мир,2023-03-16 22:05:00,1044,83100,18
"Круги ада, сухие сливки и томная нежность: смотрим выставку современных художников Уфы",https://ufa1.ru/text/culture/2023/03/16/72131846/,Культура,2023-03-16 22:00:00,563,86100,6
"Больше, чем у Собянина: сколько заместителей у мэра Уфы и его коллег из других городов-миллионников",https://ufa1.ru/text/politics/2023/03/16/72137144/,Политика,2023-03-16 21:00:00,1176,82800,22
Только отметил 20-летие: умершим бойфрендом соцработницы оказался сын артиста из Башкирии,https://ufa1.ru/text/incidents/2023/03/16/72138797/,Происшествия,2023-03-16 20:45:09,3802,85509,25
Что происходит с Wildberries и можно ли заказывать товары? Объясняем в одном видео,https://ufa1.ru/text/business/2023/03/16/72138845/,Бизнес,2023-03-16 20:40:33,746,86124,29
"«Есть игроки, которых стоило бы исключить»: легенды ХК «Салават Юлаев» — о неудачном сезоне",https://ufa1.ru/text/sport/2023/03/16/72132032/,Спорт,2023-03-16 20:00:00,3875,83967,1
"Кому нужны эти ниточки? Пять форм бровей, которые портят образ",https://ufa1.ru/text/style/2023/03/16/72135974/,Стиль и красота,2023-03-16 20:00:00,660,0,7
"«Мама родная, на помощь!». Появилось видео из квартиры, где нашли тела жителя Башкирии и его жены",https://ufa1.ru/text/incidents/2023/03/16/72138704/,Происшествия,2023-03-16 19:55:00,1994,86100,25
Аллаяры в абдрагане: насколько хорошо вы знаете уфимский сленг?,https://ufa1.ru/text/gorod/2023/03/16/72118352/,Город,2023-03-16 19:00:00,2153,83100,12
Потерпите в пробках: в Уфе до конца лета закроют дорогу на выезде из города,https://ufa1.ru/text/transport/2023/03/16/72138569/,Дороги и транспорт,2023-03-16 18:50:00,6929,85800,19
Почему загорелось здание погранслужбы ФСБ в Ростове-на-Дону? И что за взрывы слышали люди? Коротко о главном,https://ufa1.ru/text/world/2023/03/16/72138476/,Страна и мир,2023-03-16 18:11:48,975,84108,18
"«Реакция пассажиров — вымысел». Пилот рассказал, что еще выдумали в фильме про посадку самолета в кукурузном поле",https://ufa1.ru/text/culture/2023/03/16/72137747/,Культура,2023-03-16 17:30:40,1012,83932,6
Развязку на аэропорт Уфы закрыли для большегрузов. Смотрим схему объезда,https://ufa1.ru/text/transport/2023/03/16/72138233/,Дороги и транспорт,2023-03-16 17:25:00,752,86060,19
"Врач, трижды бывавший на СВО, рассказал, что такое «зеленка» и «открытка». Словарь спецоперации",https://ufa1.ru/text/health/2023/03/16/72135695/,Здоровье,2023-03-16 17:00:00,882,84900,23
"Доигрались: в Уфе 13-летний мальчик получил ножевую рану, ребенок в тяжелом состоянии",https://ufa1.ru/text/incidents/2023/03/16/72138020/,Происшествия,2023-03-16 16:27:00,2732,84420,25
"Из суда на нары: в Уфе вынесен приговор приставу, присвоившему деньги должников",https://ufa1.ru/text/criminal/2023/03/16/72137930/,Криминал,2023-03-16 16:10:00,1465,85380,17
Даже пятиклашки справятся! Этот тест по русскому языку из СССР взрослые точно провалят,https://ufa1.ru/text/education/2023/03/16/72134738/,Образование,2023-03-16 16:00:00,1249,85800,16
ОМК представила опыт развития корпоративного волонтерства на I Форуме добровольцев в Уфе,https://ufa1.ru/text/gorod/2023/03/16/72137855/,Город,2023-03-16 15:50:00,615,85800,12
Страсти египетские: появилось видео нападения на иностранного студента БГМУ в Уфе,https://ufa1.ru/text/incidents/2023/03/16/72137684/,Происшествия,2023-03-16 15:30:00,1927,85200,25
В Ростове-на-Дону горит здание пограничной службы ФСБ. Очевидцы сообщают о взрывах,https://ufa1.ru/text/incidents/2023/03/16/72137810/,Происшествия,2023-03-16 15:13:00,1012,85380,25
«Болельщики ждали другой результат»: Радий Хабиров — о ХК «Салават Юлаев»,https://ufa1.ru/text/sport/2023/03/16/72137546/,Спорт,2023-03-16 14:50:00,1941,85020,1
Погибли как минимум трое: онлайн-репортаж с пожара в ростовском погрануправлении,https://ufa1.ru/text/incidents/2023/03/16/72137615/,Происшествия,2023-03-16 14:39:51,741,85791,25
"Ремонта нет, а заезжать нельзя: в ГИБДД разъяснили установку запрещающего знака на улице Ленина в Уфе",https://ufa1.ru/text/transport/2023/03/16/72137213/,Дороги и транспорт,2023-03-16 14:25:00,2112,85509,19
Министр труда РФ отреагировал на забастовку в Wildberries: теперь компанию ждут проверки,https://ufa1.ru/text/job/2023/03/16/72137522/,Работа,2023-03-16 14:16:34,676,85894,20
Отправят ли срочников на границу с Украиной? В комитете Госдумы по обороне ответили на главные вопросы о призыве,https://ufa1.ru/text/world/2023/03/16/72137456/,Страна и мир,2023-03-16 14:06:12,960,85778,18
"Стало известно, когда в Уфе пройдет последний звонок",https://ufa1.ru/text/education/2023/03/16/72137312/,Образование,2023-03-16 13:50:00,1136,85428,16
"Врачи рассказали о состоянии детей уроженца Башкирии, которые 3 дня провели в квартире с мертвыми родителями",https://ufa1.ru/text/incidents/2023/03/16/72137240/,Происшествия,2023-03-16 13:34:00,2247,85440,25
"«Вы свиньи и нежить». Правила жизни блогера-сыроеда, у которого умер ребенок",https://ufa1.ru/text/incidents/2023/03/16/72136064/,Происшествия,2023-03-16 13:30:00,1272,86160,25
Полиция Башкирии начала проверку по жалобе на их сотрудника об избиении жены с сыном-аутистом,https://ufa1.ru/text/family/2023/03/16/72137090/,Семья,2023-03-16 13:10:00,1195,85200,26
«Сиди и сзади дыши»: почему таксисты не пускают пассажиров на переднее сиденье и где в машине безопаснее всего,https://ufa1.ru/text/transport/2023/03/16/72135467/,Дороги и транспорт,2023-03-16 13:00:00,2182,85800,19
В Уфе школу эвакуировали из-за угрозы теракта,https://ufa1.ru/text/incidents/2023/03/16/72137069/,Происшествия,2023-03-16 12:28:00,1764,84480,25
Обнаруженная мертвой в квартире Уфы девушка оказалась соцработницей,https://ufa1.ru/text/incidents/2023/03/16/72136934/,Происшествия,2023-03-16 12:10:00,6039,85320,25
"«Чудес они не сотворят»: витамины, на которые вы зря тратите свои деньги",https://ufa1.ru/text/health/2023/03/16/72135605/,Здоровье,2023-03-16 12:00:00,15002,85800,23
Бывший депутат Курултая Башкирии возглавил Чукотку,https://ufa1.ru/text/politics/2023/03/16/72136919/,Политика,2023-03-16 11:43:00,1499,85380,22
"На пенсионерку повесили кредит по паспорту, потерянному 20 лет назад. Уже в шестой (!) раз",https://ufa1.ru/text/world/2023/03/16/72135395/,Страна и мир,2023-03-16 11:00:00,1151,83820,18
В Уфе влюбленную пару нашли мертвыми в квартире,https://ufa1.ru/text/incidents/2023/03/16/72136733/,Происшествия,2023-03-16 11:00:00,5686,0,25
Мужчину из Башкирии и его жену нашли мертвыми в запертой квартире. Маленькие дети сидели рядом с ними 3 дня,https://ufa1.ru/text/incidents/2023/03/16/72136655/,Происшествия,2023-03-16 10:20:00,7211,84000,25
Жительница Уфы пожаловалась на антисанитарию в одном из роддомов города,https://ufa1.ru/text/gorod/2023/03/16/72136442/,Город,2023-03-16 10:10:00,1599,85800,12
"Кожурки не выкидывайте: 6 овощей и фруктов, которые никогда нельзя чистить",https://ufa1.ru/text/food/2023/03/16/72135872/,Еда,2023-03-16 10:00:00,1373,85800,3
В Башкирии простились с погибшим на Украине доставаловцем,https://ufa1.ru/text/incidents/2023/03/16/72136493/,Происшествия,2023-03-16 09:10:00,4698,83400,25
"«Называют русалкой». Врач с зелеными волосами — о том, как выжить молодому доктору и помочь пожилым пациентам",https://ufa1.ru/text/health/2023/03/16/72135317/,Здоровье,2023-03-16 09:00:00,1138,85800,23
Не банк — и точка: как устроен сервис займов «Ваш инвестор»,https://ufa1.ru/text/gorod/2023/03/16/72133229/,Город,2023-03-16 09:00:00,725,0,12
В Уфе студента БГМУ из Египта ударили ножом,https://ufa1.ru/text/incidents/2023/03/16/72136460/,Происшествия,2023-03-16 08:40:00,2176,85200,25
"Алкоголизм, остеохондроз, гипертония: список болезней, которые дают отсрочку от призыва",https://ufa1.ru/text/health/2023/03/16/72136151/,Здоровье,2023-03-16 08:00:00,3877,84000,23
Дикое чудо под сердцем Уфы: репортаж из тихого поселка в историческом центре башкирской столицы,https://ufa1.ru/text/gorod/2023/03/16/72129056/,Город,2023-03-16 07:50:00,22964,85800,12
"«Либо ты моя, либо сгниешь в психушке»: уфимка рассказала, как ее избивал муж-полицейский",https://ufa1.ru/text/family/2023/03/16/72134165/,Семья,2023-03-16 07:20:00,2797,84600,26
Путин потребовал от силовиков усилить борьбу с недовольными внутри страны: новости СВО за 15 марта,https://ufa1.ru/text/world/2023/03/15/72135557/,Страна и мир,2023-03-15 22:05:00,2713,53100,18
"В мэрии Уфы рассказали, какие дороги будут ремонтировать в 2023 году и когда закончат работы",https://ufa1.ru/text/transport/2023/03/15/72135818/,Город  Дороги и транспорт,2023-03-15 21:31:00,1903,84360,12
Мэр Уфы пообещал нанести больше дорожной разметки. Только на краску выделили больше 20 миллионов рублей,https://ufa1.ru/text/gorod/2023/03/15/72135749/,Город  Дороги и транспорт,2023-03-15 20:32:00,1018,82860,12
"Жители Уфы пожаловались на «потоп» в Нижегородке. В мэрии рассказали, как борются со стихией",https://ufa1.ru/text/incidents/2023/03/15/72135272/,Происшествия,2023-03-15 20:01:00,1440,84540,25
"В «Башавтотрансе» рассказали, почему загорелся их автобус, ехавший из Уфы в Дюртюли",https://ufa1.ru/text/incidents/2023/03/15/72135230/,Происшествия,2023-03-15 19:28:00,2205,84420,25
